name,111_5e5,111_1e7,231_5e5,231_1e7,296_5e5,296_1e7
05001N2,7.313747605,44.41774711,1.025879438,15.46101446,0.662990207,10.79290657
07000N2,7.807614754,54.97141011,1.281567347,19.69842463,0.836283932,14.18432326
07001N2,10.18352399,20.58936766,0.785339446,8.240590233,0.401705291,5.255459649
07002N2,7.577120132,37.06999869,0.901085759,12.54812506,0.523567026,8.487444675
07010N3,14.58573739,82.49443859,1.89062872,28.01294713,1.145149299,18.86849673
07011N3,13.65041177,89.50288519,2.068853166,29.734301,1.256547877,20.27248403
07012N3,14.88453877,155.447183,3.567508494,57.64409866,2.430994838,42.34447255
07013N3,15.88854618,160.9990832,3.739358762,59.99113965,2.658076711,44.93950492
08000N3,15.60748586,61.49426933,1.583842569,21.17234384,0.933324049,13.71273111
08010N2,1.141379898,3.735641792,0.101827881,1.182914654,0.050388112,0.760022594
08011N2,2.998820521,13.7749829,0.315008182,4.228448079,0.173313263,2.84806471
08012N2,6.063418693,25.56523731,0.548030814,7.782459988,0.300169802,4.898137101
08013N2,8.562437544,34.68683422,0.894822572,12.15966737,0.51825244,8.069716911
08020N2,7.890571651,19.85466727,0.643530256,7.1830141,0.322461457,4.643132647
08030N2,7.297796656,47.4293537,1.126545425,17.10299796,0.742953635,12.18077338
09000N3,16.88455281,60.86528431,1.543755303,21.20655934,0.858390316,13.65998523
09010N2,4.817997966,28.73287976,0.596495599,8.944298937,0.353839161,5.912330111
10000N2,6.662265898,21.73640636,0.585283243,7.426503532,0.323950626,4.745609876
10010N2,5.510865096,31.40060626,0.745545087,10.62564494,0.459792883,7.234511509
10020N2,8.092803471,39.65606078,0.970017182,13.68733614,0.560697092,9.110382934
11000N2,10.13071791,40.56320865,1.011406045,14.22003904,0.595686505,9.561430905
11001N2,12.01888247,36.1425812,0.787763462,10.72134258,0.419898424,6.412413166
11002N2,7.177918087,54.41567971,1.261521064,19.70027131,0.856636197,14.21265004
11003N2,11.55472588,54.76284706,1.19855047,17.288154,0.685274468,11.5043043
